health_insurance_Neighborhood,health_insurance_Estimate_18_to_34_years,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage___With_employer_based_health_insurance_only,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage___With_direct_purchase_health_insurance_only,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage___With_Medicare_coverage_only,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage___With_Medicaid/means_tested_public_coverage_only,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage___With_TRICARE/military_health_coverage_only,health_insurance_Estimate_18_to_34_years___With_one_type_of_health_insurance_coverage___With_VA_Health_Care_only,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage___With_employer_based_and_direct_purchase_coverage,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage___With_employer_based_and_Medicare_coverage,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage___With_Medicare_and_Medicaid/means_tested_public_coverage,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage___Other_private_only_combinations,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage___Other_public_only_combinations,health_insurance_Estimate_18_to_34_years___With_two_or_more_types_of_health_insurance_coverage___Other_coverage_combinations,health_insurance_Estimate_18_to_34_years___No_health_insurance_coverage
Allegheny Center,723.0,649.0,416.0,162.0,0.0,71.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,69.0
Allegheny West,122.0,89.0,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Allentown,470.0,338.0,159.0,10.0,0.0,169.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,122.0
Arlington,570.0,336.0,265.0,23.0,0.0,36.0,0.0,12.0,26.0,7.0,0.0,0.0,0.0,0.0,19.0,208.0
Arlington Heights,104.0,98.0,12.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Banksville,1255.0,1092.0,996.0,68.0,0.0,28.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,128.0
Bedford Dwellings,364.0,268.0,38.0,30.0,0.0,200.0,0.0,0.0,66.0,0.0,0.0,18.0,0.0,0.0,48.0,30.0
Beechview,2265.0,1717.0,1337.0,153.0,0.0,216.0,0.0,11.0,71.0,11.0,0.0,2.0,0.0,0.0,58.0,477.0
Beltzhoover,369.0,218.0,139.0,9.0,0.0,70.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,138.0
Bloomfield,4419.0,3480.0,2853.0,442.0,0.0,138.0,47.0,0.0,197.0,121.0,0.0,35.0,11.0,0.0,30.0,742.0
Bluff,3543.0,3361.0,2585.0,630.0,9.0,69.0,62.0,6.0,94.0,36.0,0.0,0.0,44.0,0.0,14.0,88.0
Bon Air,215.0,205.0,171.0,14.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Brighton Heights,1688.0,1304.0,1005.0,77.0,0.0,212.0,0.0,10.0,200.0,74.0,0.0,17.0,0.0,0.0,109.0,184.0
Brookline,3173.0,2579.0,2099.0,156.0,14.0,291.0,0.0,19.0,137.0,28.0,0.0,56.0,9.0,0.0,44.0,457.0
California-Kirkbride,242.0,130.0,68.0,0.0,0.0,62.0,0.0,0.0,53.0,0.0,0.0,29.0,21.0,0.0,3.0,59.0
Carrick,2549.0,1885.0,1208.0,137.0,0.0,540.0,0.0,0.0,61.0,0.0,0.0,36.0,0.0,0.0,25.0,603.0
Central Business District,2400.0,2104.0,1670.0,360.0,0.0,67.0,7.0,0.0,122.0,70.0,0.0,13.0,10.0,0.0,29.0,174.0
Central Lawrenceville,1838.0,1449.0,1242.0,128.0,0.0,79.0,0.0,0.0,83.0,28.0,0.0,1.0,0.0,0.0,54.0,306.0
Central Northside,832.0,655.0,491.0,61.0,0.0,103.0,0.0,0.0,94.0,6.0,0.0,0.0,0.0,0.0,88.0,83.0
Central Oakland,5128.0,4656.0,3948.0,555.0,0.0,58.0,80.0,15.0,230.0,199.0,0.0,0.0,8.0,0.0,23.0,242.0
Chartiers City,66.0,43.0,7.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Chateau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crafton Heights,997.0,773.0,553.0,38.0,0.0,182.0,0.0,0.0,49.0,0.0,0.0,28.0,0.0,0.0,21.0,175.0
Crawford-Roberts,512.0,373.0,195.0,31.0,0.0,147.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,89.0
Duquesne Heights,742.0,629.0,474.0,77.0,0.0,78.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,28.0,49.0
East Allegheny,642.0,441.0,283.0,112.0,0.0,46.0,0.0,0.0,56.0,42.0,0.0,0.0,0.0,0.0,14.0,145.0
East Carnegie,236.0,208.0,176.0,21.0,0.0,11.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0
East Hills,624.0,461.0,170.0,0.0,0.0,291.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,133.0
